Generic Data Type,Raw Data Type
"bank accounts through a voice assistant e.g. amazon echo/ alexa, google home/ assistant. how acceptable is it for your bank account details","bank accounts through a voice assistant e.g. amazon echo/ alexa, google home/ assistant. how acceptable is it for your bank account details"
"bank accounts through a voice assistant e.g. amazon echo/alexa, google home/ assistant. how acceptable is it for your bank account details","bank accounts through a voice assistant e.g. amazon echo/alexa, google home/ assistant. how acceptable is it for your bank account details"
"bank accounts through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your bank account details","bank accounts through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your bank account details"
"bank accounts through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your bank details","bank accounts through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your bank details"
bank accounts through a voice assistant e.g. amazon echo/alexa/google home/assistant. how acceptable is it for your bank account details,bank accounts through a voice assistant e.g. amazon echo/alexa/google home/assistant. how acceptable is it for your bank account details
"bank accounts through a voice assistant, e.g. amazon echo/alexa, google home/ assistant. how acceptable is it for your bank account details","bank accounts through a voice assistant, e.g. amazon echo/alexa, google home/ assistant. how acceptable is it for your bank account details"
contacts,contacts
email content,email content
frequent played music,frequent played music
frequently played music,frequently played music
"health information through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for blood sugar reading","health information through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for blood sugar reading"
"health information through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your blood sugar reading","health information through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your blood sugar reading"
home address,home address
"home temperature through a voice assistant e.g. amazon echo/alexa, google home/ assistant. how acceptable is it for your smart thermostat history log","home temperature through a voice assistant e.g. amazon echo/alexa, google home/ assistant. how acceptable is it for your smart thermostat history log"
"home temperature through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your smart home thermostat history log","home temperature through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your smart home thermostat history log"
"home temperature through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your smart thermostat history log","home temperature through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your smart thermostat history log"
"home temperature through a voice assistant e.g. amazon echo/alexa, google home/assistnat. how acceptable is it for your smart thermostat history log","home temperature through a voice assistant e.g. amazon echo/alexa, google home/assistnat. how acceptable is it for your smart thermostat history log"
"order a ride, such as uber through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for the data used for this such as your home address","order a ride, such as uber through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for the data used for this such as your home address"
shopping list,shopping list
sleeping hours,sleeping hours
"smart door lock through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for the state of your door (locked/unlocked)","smart door lock through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for the state of your door (locked/unlocked)"
smart doors through a voice assistant e.g. amazon alexa/google assistant. how acceptable is it for the state of your door (locked/unlocked),smart doors through a voice assistant e.g. amazon alexa/google assistant. how acceptable is it for the state of your door (locked/unlocked)
"smart doors through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for the state of your door (locked/unlocked)","smart doors through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for the state of your door (locked/unlocked)"
"smart doors through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for the state of your door lock (whether the door is locked or unlocked)","smart doors through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for the state of your door lock (whether the door is locked or unlocked)"
smart home camera through a voice assistant e.g. amazon echo/alexa and google home/assistant. how acceptable is it for your camera's motion detection status (on/off),smart home camera through a voice assistant e.g. amazon echo/alexa and google home/assistant. how acceptable is it for your camera's motion detection status (on/off)
"smart home camera through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your camera's motion detection status (on/off)","smart home camera through a voice assistant e.g. amazon echo/alexa, google home/assistant. how acceptable is it for your camera's motion detection status (on/off)"
to-do lists. how acceptable is it for your reminders,to-do lists. how acceptable is it for your reminders
to-do lists. how acceptable is it for your remindersûøto be,to-do lists. how acceptable is it for your remindersûøto be
video calls,video calls
voice assistant about weather updates e.g. amazon alexa/google assistant. how acceptable is it for your weather queries,voice assistant about weather updates e.g. amazon alexa/google assistant. how acceptable is it for your weather queries
voice assistant about weather updates e.g. amazon alexa/google assistant. how acceptable is it for your weather updates,voice assistant about weather updates e.g. amazon alexa/google assistant. how acceptable is it for your weather updates
voice command history,voice command history
